company,title,location,job_url,site,source,posted_ago,days_ago,date_posted,freshness_score,is_fresh,level,category,job_type,is_faang,is_tier1,description,collected_at
Unknown,🟢 **Google**,STEP Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://careers.google.com/students/),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://careers.google.com/students/). ,2025-11-07T10:09:56.854290
Unknown,🟦 **Microsoft**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://careers.microsoft.com/students),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://careers.microsoft.com/students). ,2025-11-07T10:09:56.854308
Unknown,🔵 **Meta**,Software Engineer Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://careers.meta.com/students),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://careers.meta.com/students). ,2025-11-07T10:09:56.854321
Unknown,📦 **Amazon**,SDE Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://amazon.jobs/internships),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://amazon.jobs/internships). ,2025-11-07T10:09:56.854333
Unknown,🍎 **Apple**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://jobs.apple.com/students),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://jobs.apple.com/students). ,2025-11-07T10:09:56.854344
Unknown,🎬 **Netflix**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://jobs.netflix.com/students),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://jobs.netflix.com/students). ,2025-11-07T10:09:56.854356
Unknown,⚡ **Tesla**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://careers.tesla.com/internships),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://careers.tesla.com/internships). ,2025-11-07T10:09:56.854368
Unknown,🎮 **Nvidia**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://careers.nvidia.com/internships),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://careers.nvidia.com/internships). ,2025-11-07T10:09:56.854379
Unknown,💳 **Stripe**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://stripe.com/jobs/internships),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://stripe.com/jobs/internships). ,2025-11-07T10:09:56.854390
Unknown,₿ **Coinbase**,Software Engineering Internship,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,[Apply](https://coinbase.com/careers/students),,2025-11-07,50,False,Various,Software Engineering,fulltime,False,False,Various position at Unknown in Software Engineering. Posted [Apply](https://coinbase.com/careers/students). ,2025-11-07T10:09:56.854401
Unknown,Platform,Type,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,Description,,2025-11-07,50,False,Link,Software Engineering,fulltime,False,False,Link position at Unknown in Software Engineering. Posted Description. ,2025-11-07T10:09:56.854412
Unknown,**👼 AngelList Internships**,Job Board,https://angel.co/jobs#internships,zapply,Zapply-GitHub,Startup internships and entry-level positions,,2025-11-07,50,False,[Visit](https://angel.co/jobs#internships),Software Engineering,internship,False,False,[Visit](https://angel.co/jobs#internships) position at Unknown in Software Engineering. Posted Startup internships and entry-level positions. ,2025-11-07T10:09:56.854426
Unknown,**🔗 LinkedIn Student Jobs**,Platform,https://linkedin.com/jobs/student-jobs,zapply,Zapply-GitHub,Professional network for student opportunities,,2025-11-07,50,False,[Visit](https://linkedin.com/jobs/student-jobs),Software Engineering,fulltime,False,False,[Visit](https://linkedin.com/jobs/student-jobs) position at Unknown in Software Engineering. Posted Professional network for student opportunities. ,2025-11-07T10:09:56.854438
Unknown,**🔵 Indeed Internships**,Job Board,https://indeed.com/q-software-engineering-intern-jobs.html,zapply,Zapply-GitHub,Comprehensive internship search engine,,2025-11-07,50,False,[Visit](https://indeed.com/q-software-engineering-intern-jobs.html),Software Engineering,internship,False,False,[Visit](https://indeed.com/q-software-engineering-intern-jobs.html) position at Unknown in Software Engineering. Posted Comprehensive internship search engine. ,2025-11-07T10:09:56.854449
Unknown,**🏢 Glassdoor Internships**,Job Board,"https://glassdoor.com/Job/software-engineer-intern-jobs-SRCH_KO0,23.htm",zapply,Zapply-GitHub,Internships with company reviews and salary data,,2025-11-07,50,False,"[Visit](https://glassdoor.com/Job/software-engineer-intern-jobs-SRCH_KO0,23.htm)",Software Engineering,internship,False,False,"[Visit](https://glassdoor.com/Job/software-engineer-intern-jobs-SRCH_KO0,23.htm) position at Unknown in Software Engineering. Posted Internships with company reviews and salary data. ",2025-11-07T10:09:56.854461
Unknown,**🏫 University Career Centers**,Resource,https://nace.org,zapply,Zapply-GitHub,National Association of Colleges and Employers,,2025-11-07,50,False,[Visit](https://nace.org),Software Engineering,fulltime,False,False,[Visit](https://nace.org) position at Unknown in Software Engineering. Posted National Association of Colleges and Employers. ,2025-11-07T10:09:56.854472
Unknown,Role,Location,https://github.com/zapplyjobs/New-Grad-Jobs,zapply,Zapply-GitHub,Posted,,2025-11-07,50,False,Level,Category,fulltime,False,False,Level position at Unknown in Category. Posted Posted. ,2025-11-07T10:09:56.854486
Unknown,Platform Monitoring Engineer,"Heredia, Costa Rica",https://databricks.com/company/careers/open-positions/job?gh_jid=8094976002,zapply,Zapply-GitHub,0h ago,0.0,2025-11-07,100,True,Mid-Level,DevOps & Infrastructure,fulltime,False,False,Mid-Level position at Unknown in DevOps & Infrastructure. Posted 0h ago. ,2025-11-07T10:09:56.854504
Unknown,"Sr. Manager, Field Engineering - Financial Services","Boston, Massachusetts; Chicago",https://databricks.com/company/careers/open-positions/job?gh_jid=8222653002,zapply,Zapply-GitHub,1d ago,1.0,2025-11-06,90,True,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 1d ago. ,2025-11-07T10:09:56.854518
Unknown,Staff Security Assurance Engineer,"San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8199405002,zapply,Zapply-GitHub,2d ago,2.0,2025-11-05,90,True,Senior,Security Engineering,fulltime,False,False,Senior position at Unknown in Security Engineering. Posted 2d ago. ,2025-11-07T10:09:56.854530
Unknown,"Chief of Staff, Field Engineering","San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=7979125002,zapply,Zapply-GitHub,3d ago,3.0,2025-11-04,90,True,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 3d ago. ,2025-11-07T10:09:56.854541
Unknown,Developer Advocate - Neon,"San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8124845002,zapply,Zapply-GitHub,3d ago,3.0,2025-11-04,90,True,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 3d ago. ,2025-11-07T10:09:56.854554
Unknown,Sr. Machine Learning Engineer,"San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=7276195002,zapply,Zapply-GitHub,3d ago,3.0,2025-11-04,90,True,Senior,Machine Learning & AI,fulltime,False,False,Senior position at Unknown in Machine Learning & AI. Posted 3d ago. ,2025-11-07T10:09:56.854566
Unknown,"Associate Product Manager, New Grad (2026 Start)","Bellevue, Washington; Mountain View",https://databricks.com/company/careers/open-positions/job?gh_jid=7586263002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Entry-Level,Product Management,fulltime,False,False,Entry-Level position at Unknown in Product Management. Posted 1w ago. ,2025-11-07T10:09:56.854579
Unknown,Data Scientist - New Grad (2026 Start),"Mountain View, California; San Francisco",https://databricks.com/company/careers/open-positions/job?gh_jid=6866554002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Entry-Level,Data Science & Analytics,fulltime,False,False,Entry-Level position at Unknown in Data Science & Analytics. Posted 1w ago. ,2025-11-07T10:09:56.854590
Unknown,Software Engineering Intern (2026),"Bellevue, Washington; Mountain View",https://databricks.com/company/careers/open-positions/job?gh_jid=6865687002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Entry-Level,Software Engineering,internship,False,False,Entry-Level position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854602
Unknown,Software Engineer - New Grad (2026 Start),"Bellevue, Washington; Mountain View",https://databricks.com/company/careers/open-positions/job?gh_jid=6865698002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Entry-Level,Software Engineering,fulltime,False,False,Entry-Level position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854614
Unknown,"Software Engineer - New Grad, Distributed Data Systems (2026 Start)","Bellevue, Washington; Mountain View",https://databricks.com/company/careers/open-positions/job?gh_jid=6865704002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Entry-Level,Software Engineering,fulltime,False,False,Entry-Level position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854627
Unknown,Sr. Solutions Engineer - Enterprise Greenfield Saudi Arabia,"Riyadh, Saudi Arabia",https://databricks.com/company/careers/open-positions/job?gh_jid=8160181002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854638
Unknown,Sr. Staff Backend Software Engineer -  Enterprise Apps,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8220983002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Backend Development,fulltime,False,False,Senior position at Unknown in Backend Development. Posted 1w ago. ,2025-11-07T10:09:56.854650
Unknown,Staff Fullstack Engineer - Enterprise Apps,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8220836002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Full Stack Development,fulltime,False,False,Senior position at Unknown in Full Stack Development. Posted 1w ago. ,2025-11-07T10:09:56.854661
Unknown,Sr. Staff Fullstack Engineer - Enterprise Apps,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8220902002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Full Stack Development,fulltime,False,False,Senior position at Unknown in Full Stack Development. Posted 1w ago. ,2025-11-07T10:09:56.854673
Unknown,Evergreen - Staff Backend Software Engineer-  Enterprise Apps  (L6),"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8220958002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Backend Development,fulltime,False,False,Senior position at Unknown in Backend Development. Posted 1w ago. ,2025-11-07T10:09:56.854685
Unknown,Senior Software Engineer (Backend) - AI/ML Environments,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8233899002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Backend Development,fulltime,False,False,Senior position at Unknown in Backend Development. Posted 1w ago. ,2025-11-07T10:09:56.854696
Unknown,Senior Software Engineer - Fullstack (NYC),New York,https://databricks.com/company/careers/open-positions/job?gh_jid=8211634002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Full Stack Development,fulltime,False,False,Senior position at Unknown in Full Stack Development. Posted 1w ago. ,2025-11-07T10:09:56.854708
Unknown,Senior Software Engineer - Backend (NYC),New York,https://databricks.com/company/careers/open-positions/job?gh_jid=8211625002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Backend Development,fulltime,False,False,Senior position at Unknown in Backend Development. Posted 1w ago. ,2025-11-07T10:09:56.854719
Unknown,Global Head of Technical Scale and Strategy (Field Engineering),"San Francisco, California; United States",https://databricks.com/company/careers/open-positions/job?gh_jid=8223325002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854731
Unknown,Senior Software Engineer - Observability (Databases),"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8229742002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854742
Unknown,Sr. Staff Software Engineer - AI + Data Intelligence Platform,"Mountain View, California; San Francisco",https://databricks.com/company/careers/open-positions/job?gh_jid=7823561002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Senior,Machine Learning & AI,fulltime,False,False,Senior position at Unknown in Machine Learning & AI. Posted 1w ago. ,2025-11-07T10:09:56.854753
Unknown,Solutions Engineer,"New York City, New York",https://databricks.com/company/careers/open-positions/job?gh_jid=8223189002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854765
Unknown,Solutions Engineer,"Denver, Colorado",https://databricks.com/company/careers/open-positions/job?gh_jid=8223188002,zapply,Zapply-GitHub,1w ago,7.0,2025-10-31,75,False,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 1w ago. ,2025-11-07T10:09:56.854775
Unknown,Principal Engineer - Privacy,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8224828002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854786
Unknown,"Staff Software Engineer, Foundational Model Serving","San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8224683002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854798
Unknown,"Staff Software Engineer, Model Serving","San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8211647002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854809
Unknown,"Sr. Solutions Engineer - Communications, Media, Entertainment and Gaming","Chicago, Illinois",https://databricks.com/company/careers/open-positions/job?gh_jid=8206231002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854820
Unknown,"Sr. Solutions Engineer - Communications, Media, Entertainment and Gaming","New York City, New York",https://databricks.com/company/careers/open-positions/job?gh_jid=8206229002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854831
Unknown,"Sr. Manager, Engineering - Search","Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=7959180002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854842
Unknown,Senior Software Engineer - Fullstack,"Mountain View, California; San Francisco",https://databricks.com/company/careers/open-positions/job?gh_jid=5445641002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Full Stack Development,fulltime,False,False,Senior position at Unknown in Full Stack Development. Posted 2w ago. ,2025-11-07T10:09:56.854853
Unknown,"Engineering Manager, Data Lineage — Unity Catalog Experience","Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8015139002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854869
Unknown,Senior Staff Software Engineer - Lineage & Tagging,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=7886068002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854881
Unknown,Sr. Staff Software Engineer - Metadata Intelligence,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8204016002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854892
Unknown,Senior Staff Software Engineer - App and Partner Ecosystem,"Seattle, Washington",https://databricks.com/company/careers/open-positions/job?gh_jid=7807722002,zapply,Zapply-GitHub,2w ago,14.0,2025-10-24,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 2w ago. ,2025-11-07T10:09:56.854904
Unknown,"Director, Engineering - Databricks Mosaic AI",New York,https://databricks.com/company/careers/open-positions/job?gh_jid=8214272002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Mid-Level,Machine Learning & AI,fulltime,False,False,Mid-Level position at Unknown in Machine Learning & AI. Posted 3w ago. ,2025-11-07T10:09:56.854915
Unknown,"Sr. Manager, Engineering - Model Serving","San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8211957002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854926
Unknown,"Senior Software Engineer, Model Serving","San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8211648002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854937
Unknown,"Sr. Staff Software Engineer, Search","San Francisco, California",https://databricks.com/company/careers/open-positions/job?gh_jid=7987301002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Senior,Software Engineering,fulltime,False,False,Senior position at Unknown in Software Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854948
Unknown,Sr Software Engineer-Networking,"Mountain View, California",https://databricks.com/company/careers/open-positions/job?gh_jid=8211452002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854959
Unknown,Sr Software Engineer-Networking,"Bellevue, Washington",https://databricks.com/company/careers/open-positions/job?gh_jid=8211450002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Mid-Level,Software Engineering,fulltime,False,False,Mid-Level position at Unknown in Software Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854970
Unknown,Physical Security Engineer,"Mountain View, California; San Francisco",https://databricks.com/company/careers/open-positions/job?gh_jid=7993207002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Mid-Level,Security Engineering,fulltime,False,False,Mid-Level position at Unknown in Security Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854981
Unknown,Databricks Enterprise Lead Security Architect -   Principal IT Software Engineer,"Mountain View, California; San Francisco",https://databricks.com/company/careers/open-positions/job?gh_jid=8207910002,zapply,Zapply-GitHub,3w ago,21.0,2025-10-17,60,False,Senior,Security Engineering,fulltime,False,False,Senior position at Unknown in Security Engineering. Posted 3w ago. ,2025-11-07T10:09:56.854992
